ลำดับ,เลขทะเบียนโรงงาน,FID,TSIC,รหัสประเภท,จำพวก,ปีที่ได้รับอนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,รหัสจังหวัด,จังหวัด,รหัสไปรษณีย์,โทรศัพท์,ค่าอาคาร,ค่าที่ดิน,ค่าเครื่องจักร,เงินทุนหมุนเวียน,เงินทุนรวม,ชาย,หญิง,คนงานรวม,แรงม้ารวม,พื้นที่โรงงาน,พื้นที่อาคาร
1,จ3-3(2)-7/57ชบ,2.02E+13,8103,302,3,57,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,ขุดดิน,น.ส.3 ก เลขที่ 112,3,,,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,"086-9864466, 086-3125511",0,0,700000,2000000,2700000,6,0,6,590,52126,0
2,จ3-3(2)-55/61ชบ,2.02E+13,8103,302,3,61,บ่อดิน P.T.,บ่อดิน P.T.,ขุดดิน,น.ส.3 ก 272,4,,,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,038-209297,100000,2000000,1500000,0,3600000,2,0,2,250,16000,0
3,จ3-3(2)-8/57ชบ,2.02E+13,8103,302,3,57,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,ขุดดิน,"นส.3ก เลขที่ 113,114",3,,,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,086-3185511,0,0,200000,1000000,1200000,2,0,2,580,126725,0
4,จ3-3(2)-9/57ชบ,2.02E+13,8103,302,3,57,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,ขุดดิน ร่อน คัดขนาดทราย,"นส.3ก เลขที่ 110,111",3,,,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,086-9864466,0,0,700000,6000000,6700000,6,0,6,580,62034,0
5,จ3-3(2)-64/60ชบ,2.02E+13,8103,302,3,60,-,นายนพดล แก้วสุข,ขุดดิน,"โฉนดเลขที่ 7715,7716,7717,7718",8,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,0,7000000,1000000,60000,8060000,3,0,3,290,201690,0
6,จ3-3(2)-45/61ชบ,2.02E+13,8103,302,3,61,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,"ขุดดิน,ขุดทราย",115,3,-,-,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,,0,5000000,10000000,2000000,17000000,4,0,4,300,58803,0
7,จ3-3(3)-7/59ชบ,2.02E+13,8103,303,3,59,ห้างหุ้นส่วนจำกัด โชคอุปถัมภ์,ห้างหุ้นส่วนจำกัด โชคอุปถัมภ์,ร่อน คัดขนาด ทราย,โฉนดเลขที่ 32422 เลขที่ 1,10,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,0,200000,4000000,3000000,7200000,6,0,6,462,14896,0
8,จ3-6(3)-3/65ชบ,2.02E+13,10794,603,3,65,บริษัท สุรีรัตน์ จำกัด,บริษัท สุรีรัตน์ จำกัด,"บดหรือป่นเครื่องเทศ ผลิตเครื่องแกง และผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น น้ำพริกปลาสลิด น้ำพริกปลาทู	",160/4,10,-,-,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,43000000,8750000,30000000,30000000,111750000,27,59,86,138.81,7082,353
9,จ3-7(1)-24/49ชบ,2.02E+13,10491,701,3,49,บริษัท ครอปแลนด์ อุตสาหกรรม จำกัด,บริษัท ครอปแลนด์ อุตสาหกรรม จำกัด,ผลิตน้ำมันพืชจากงา และพืชอื่น ๆ,22-ม.ค.,9,-,-,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,2800000,3500000,2600000,100000,9000000,11,5,16,226.22,28451,600
10,จ3-9(2)-5/62ชบ,2.02E+13,10612,902,3,62,ชัยเจริญ,ชัยเจริญ,ผลิตแป้งมันสำปะหลัง,88,8,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,0,0,5000000,2000000,7000000,5,0,5,489,85900,1260
